state,year,death
Selangor,2017,26733
Selangor,2018,27387
Selangor,2019,27786
Selangor,2020,25443
Selangor,2021,42165
Selangor,2022,32951
Selangor,2023,32646
Terengganu,2000,4570
Terengganu,2001,4866
Terengganu,2002,5051
Terengganu,2003,5346
Terengganu,2004,5244
Terengganu,2005,5368
Terengganu,2006,5407
Terengganu,2007,5563
Terengganu,2008,5774
Terengganu,2009,5978
Terengganu,2010,5864
Terengganu,2011,6209
Terengganu,2012,6177
Terengganu,2013,6424
Terengganu,2014,6460
Terengganu,2015,6715
Terengganu,2016,6843
Terengganu,2017,7048
Terengganu,2018,7099
Terengganu,2019,7341
Terengganu,2020,6738
Terengganu,2021,8470
Terengganu,2022,8686
Terengganu,2023,7857
Kuala Lumpur,2000,5492
Kuala Lumpur,2001,5746
Kuala Lumpur,2002,6058
Kuala Lumpur,2003,5888
Kuala Lumpur,2004,5750
Kuala Lumpur,2005,5635
Kuala Lumpur,2006,5791
Kuala Lumpur,2007,6015
Kuala Lumpur,2008,6164
Kuala Lumpur,2009,6470
Kuala Lumpur,2010,6465
Kuala Lumpur,2011,6927
Kuala Lumpur,2012,6996
Kuala Lumpur,2013,7183
Kuala Lumpur,2014,7647
Kuala Lumpur,2015,7608
Kuala Lumpur,2016,8077
Kuala Lumpur,2017,8205
Kuala Lumpur,2018,8485
Kuala Lumpur,2019,8845
Kuala Lumpur,2020,8369
Kuala Lumpur,2021,13382
Kuala Lumpur,2022,9998
Kuala Lumpur,2023,9646
Labuan,2000,167
Labuan,2001,159
Labuan,2002,200
Labuan,2003,220
Labuan,2004,212
Labuan,2005,209
Labuan,2006,208
Labuan,2007,204
Labuan,2008,243
Labuan,2009,247
Labuan,2010,243
Labuan,2011,218
Labuan,2012,242
Labuan,2013,245
Labuan,2014,274
Labuan,2015,246
Labuan,2016,277
Labuan,2017,247
Labuan,2018,287
Labuan,2019,298
Labuan,2020,319
Labuan,2021,518
Labuan,2022,393
Labuan,2023,333
Putrajaya,2010,95
Putrajaya,2011,113
Putrajaya,2012,142
Putrajaya,2013,164
Putrajaya,2014,194
Putrajaya,2015,193
Putrajaya,2016,163
Putrajaya,2017,229
Putrajaya,2018,218
Putrajaya,2019,209
Putrajaya,2020,214
Putrajaya,2021,266
Putrajaya,2022,253
Putrajaya,2023,284
