state,year,births,deaths,natural_increase
Selangor,2011,103686,19352,84334
Terengganu,2011,24776,6209,18567
Johor,2012,60444,17201,43243
Kedah,2012,36390,12268,24122
Kelantan,2012,37025,9890,27135
Kuala Lumpur,2012,26982,6996,19986
Labuan,2012,1773,242,1531
Malacca,2012,14278,4575,9703
Negeri Sembilan,2012,17903,5895,12008
Pahang,2012,27411,7791,19620
Penang,2012,23794,9133,14661
Perak,2012,37712,16395,21317
Perlis,2012,4143,1655,2488
Putrajaya,2012,3150,142,3008
Sabah,2012,58185,8066,50119
Sarawak,2012,43178,11246,31932
Selangor,2012,107946,21020,86926
Terengganu,2012,25698,6177,19521
Johor,2013,57402,17696,39706
Kedah,2013,35032,12516,22516
Kelantan,2013,36413,10042,26371
Kuala Lumpur,2013,25333,7183,18150
Labuan,2013,1743,245,1498
Malacca,2013,13692,4747,8945
Negeri Sembilan,2013,17509,6213,11296
Pahang,2013,26968,8146,18822
Penang,2013,21499,9538,11961
Perak,2013,35427,16386,19041
Perlis,2013,4050,1741,2309
Putrajaya,2013,2972,164,2808
Sabah,2013,56823,8253,48570
Sarawak,2013,40413,11231,29182
Selangor,2013,103173,21677,81496
Terengganu,2013,25465,6424,19041
Johor,2014,60443,17904,42539
Kedah,2014,36505,13017,23488
Kelantan,2014,39279,10588,28691
Kuala Lumpur,2014,27100,7647,19453
Labuan,2014,1871,274,1597
Malacca,2014,14568,4728,9840
Negeri Sembilan,2014,18676,6410,12266
Pahang,2014,28743,8301,20442
Penang,2014,22877,9678,13199
Perak,2014,36586,16925,19661
Perlis,2014,4509,1671,2838
Putrajaya,2014,3064,194,2870
Sabah,2014,57397,12188,45209
Sarawak,2014,41049,11686,29363
Selangor,2014,108932,22647,86285
Terengganu,2014,27013,6460,20553
Johor,2015,60543,18853,41690
Kedah,2015,36784,13674,23110
Kelantan,2015,39108,10789,28319
Kuala Lumpur,2015,25789,7608,18181
Labuan,2015,1953,246,1707
Malacca,2015,14554,4959,9595
Negeri Sembilan,2015,18423,6611,11812
Pahang,2015,28059,8471,19588
Penang,2015,22242,10226,12016
Perak,2015,36284,17159,19125
Perlis,2015,4315,1767,2548
