year,sex,age,ethnicity,population
2000,female,20-24,other_citizen,11.4
2000,female,20-24,other_noncitizen,100.4
2000,female,25-29,overall,950.9
2000,female,25-29,bumi_malay,433.7
2000,female,25-29,bumi_other,103.2
2000,female,25-29,chinese,224.4
2000,female,25-29,indian,73.3
2000,female,25-29,other_citizen,9.8
2000,female,25-29,other_noncitizen,106.6
2000,female,30-34,overall,905.3
2000,female,30-34,bumi_malay,423.5
2000,female,30-34,bumi_other,97.3
2000,female,30-34,chinese,228.7
2000,female,30-34,indian,70.5
2000,female,30-34,other_citizen,9.8
2000,female,30-34,other_noncitizen,75.5
2000,female,35-39,overall,818
2000,female,35-39,bumi_malay,383
2000,female,35-39,bumi_other,83.8
2000,female,35-39,chinese,220.7
2000,female,35-39,indian,65.7
2000,female,35-39,other_citizen,8.6
2000,female,35-39,other_noncitizen,56.3
2000,female,40-44,overall,705
2000,female,40-44,bumi_malay,332.6
2000,female,40-44,bumi_other,63.5
2000,female,40-44,chinese,207.8
2000,female,40-44,indian,60.7
2000,female,40-44,other_citizen,6.7
2000,female,40-44,other_noncitizen,33.8
2000,female,45-49,overall,581.7
2000,female,45-49,bumi_malay,274.4
2000,female,45-49,bumi_other,49
2000,female,45-49,chinese,182.9
2000,female,45-49,indian,50.7
2000,female,45-49,other_citizen,5.1
2000,female,45-49,other_noncitizen,19.5
2000,female,50-54,overall,419.4
2000,female,50-54,bumi_malay,195.1
2000,female,50-54,bumi_other,36.6
2000,female,50-54,chinese,139.8
2000,female,50-54,indian,33
2000,female,50-54,other_citizen,3.5
2000,female,50-54,other_noncitizen,11.5
2000,female,55-59,overall,315.9
2000,female,55-59,bumi_malay,145.9
2000,female,55-59,bumi_other,27.7
2000,female,55-59,chinese,110.6
2000,female,55-59,indian,23.3
2000,female,55-59,other_citizen,2.5
2000,female,55-59,other_noncitizen,5.9
2000,female,60-64,overall,261.6
2000,female,60-64,bumi_malay,121.6
2000,female,60-64,bumi_other,23.7
2000,female,60-64,chinese,89.6
2000,female,60-64,indian,19.6
2000,female,60-64,other_citizen,1.9
2000,female,60-64,other_noncitizen,5.3
2000,female,65-69,overall,196.7
2000,female,65-69,bumi_malay,91.9
2000,female,65-69,bumi_other,17.9
2000,female,65-69,chinese,67.5
2000,female,65-69,indian,14.1
2000,female,65-69,other_citizen,1.3
2000,female,65-69,other_noncitizen,3.9
2000,female,70-74,overall,138.3
2000,female,70-74,bumi_malay,67.6
2000,female,70-74,bumi_other,11.3
2000,female,70-74,chinese,46.9
2000,female,70-74,indian,8
