year,age_group,ethnicity,population
2005,70-74,bumi_malay,141
2005,70-74,bumi_other,30.1
2005,70-74,chinese,109.5
2005,70-74,indian,20.6
2005,70-74,other_citizen,2.2
2005,70-74,other_noncitizen,7.5
2005,75-79,bumi_malay,97.9
2005,75-79,bumi_other,18.7
2005,75-79,chinese,69.2
2005,75-79,indian,11.9
2005,75-79,other_citizen,1.7
2005,75-79,other_noncitizen,6
2005,80-84,bumi_malay,45.3
2005,80-84,bumi_other,9.3
2005,80-84,chinese,32.6
2005,80-84,indian,5.7
2005,80-84,other_citizen,0.9
2005,80-84,other_noncitizen,4
2005,85+,bumi_malay,39.3
2005,85+,bumi_other,6.3
2005,85+,chinese,28.5
2005,85+,indian,4.3
2005,85+,other_citizen,0.8
2005,85+,other_noncitizen,4.3
2010,0-4,bumi_malay,1460.2
2010,0-4,bumi_other,376.1
2010,0-4,chinese,432.8
2010,0-4,indian,149.2
2010,0-4,other_citizen,36.3
2010,0-4,other_noncitizen,54.1
2010,5-9,bumi_malay,1526
2010,5-9,bumi_other,383.9
2010,5-9,chinese,495.9
2010,5-9,indian,169.5
2010,5-9,other_citizen,30.8
2010,5-9,other_noncitizen,53.3
2010,10-14,bumi_malay,1508
2010,10-14,bumi_other,371.7
2010,10-14,chinese,522.8
2010,10-14,indian,177.2
2010,10-14,other_citizen,27.2
2010,10-14,other_noncitizen,47.1
2010,15-19,bumi_malay,1509.2
2010,15-19,bumi_other,374
2010,15-19,chinese,549.9
2010,15-19,indian,181
2010,15-19,other_citizen,26
2010,15-19,other_noncitizen,197.3
2010,20-24,bumi_malay,1399.5
2010,20-24,bumi_other,328
2010,20-24,chinese,535.8
2010,20-24,indian,184.7
2010,20-24,other_citizen,24
2010,20-24,other_noncitizen,439.9
2010,25-29,bumi_malay,1259.3
2010,25-29,bumi_other,295.2
2010,25-29,chinese,531.8
2010,25-29,indian,178.1
2010,25-29,other_citizen,19.6
2010,25-29,other_noncitizen,505.5
2010,30-34,bumi_malay,975.6
2010,30-34,bumi_other,222.9
2010,30-34,chinese,483.6
2010,30-34,indian,149.4
2010,30-34,other_citizen,12.5
2010,30-34,other_noncitizen,337.7
2010,35-39,bumi_malay,883.2
2010,35-39,bumi_other,208
2010,35-39,chinese,468.4
2010,35-39,indian,134.5
2010,35-39,other_citizen,10.4
2010,35-39,other_noncitizen,250.3
2010,40-44,bumi_malay,829
2010,40-44,bumi_other,191.9
2010,40-44,chinese,463
2010,40-44,indian,129.7
2010,40-44,other_citizen,10.2
2010,40-44,other_noncitizen,167.6
2010,45-49,bumi_malay,765.1
2010,45-49,bumi_other,168.7
2010,45-49,chinese,440.2
2010,45-49,indian,126.7
2010,45-49,other_citizen,9.4
2010,45-49,other_noncitizen,104
2010,50-54,bumi_malay,655.9
2010,50-54,bumi_other,134.3
2010,50-54,chinese,396.5
2010,50-54,indian,110.8
2010,50-54,other_citizen,8.4
2010,50-54,other_noncitizen,64.8
2010,55-59,bumi_malay,514.2
2010,55-59,bumi_other,93.7
2010,55-59,chinese,331.7
2010,55-59,indian,83.5
2010,55-59,other_citizen,6.1
2010,55-59,other_noncitizen,36.8
2010,60-64,bumi_malay,385.4
2010,60-64,bumi_other,69.2
2010,60-64,chinese,278.6
2010,60-64,indian,62.1
2010,60-64,other_citizen,3.8
2010,60-64,other_noncitizen,24.4
2010,65-69,bumi_malay,243.9
2010,65-69,bumi_other,53.3
2010,65-69,chinese,189.9
2010,65-69,indian,33.1
2010,65-69,other_citizen,2.8
2010,65-69,other_noncitizen,15
2010,70-74,bumi_malay,189.1
2010,70-74,bumi_other,35.6
2010,70-74,chinese,147.4
2010,70-74,indian,25.3
2010,70-74,other_citizen,1.9
2010,70-74,other_noncitizen,10
2010,75-79,bumi_malay,103.4
2010,75-79,bumi_other,24.6
2010,75-79,chinese,81.9
2010,75-79,indian,15.8
2010,75-79,other_citizen,1.3
2010,75-79,other_noncitizen,6.4
2010,80-84,bumi_malay,67.8
2010,80-84,bumi_other,14
2010,80-84,chinese,48.7
2010,80-84,indian,8.2
2010,80-84,other_citizen,0.8
2010,80-84,other_noncitizen,4.8
2010,85+,bumi_malay,47
2010,85+,bumi_other,9.3
2010,85+,chinese,31.5
2010,85+,indian,6
2010,85+,other_citizen,0.6
2010,85+,other_noncitizen,5.6
2015,0-4,bumi_malay,1576
2015,0-4,bumi_other,330.6
2015,0-4,chinese,378.1
2015,0-4,indian,125.7
2015,0-4,other_citizen,44.2
2015,0-4,other_noncitizen,147
2015,5-9,bumi_malay,1458.9
2015,5-9,bumi_other,376.5
2015,5-9,chinese,432.1
2015,5-9,indian,150.8
2015,5-9,other_citizen,35.8
2015,5-9,other_noncitizen,64.3
2015,10-14,bumi_malay,1522.6
2015,10-14,bumi_other,384.5
2015,10-14,chinese,494.3
2015,10-14,indian,168.5
2015,10-14,other_citizen,30.2
2015,10-14,other_noncitizen,55.7
2015,15-19,bumi_malay,1499.8
2015,15-19,bumi_other,373.1
2015,15-19,chinese,519.2
2015,15-19,indian,174.8
2015,15-19,other_citizen,27.9
2015,15-19,other_noncitizen,251.8
2015,20-24,bumi_malay,1511.1
2015,20-24,bumi_other,373.4
2015,20-24,chinese,548.2
2015,20-24,indian,178.6
2015,20-24,other_citizen,26
2015,20-24,other_noncitizen,588.2
2015,25-29,bumi_malay,1403.4
2015,25-29,bumi_other,326.6
2015,25-29,chinese,535
2015,25-29,indian,180.7
2015,25-29,other_citizen,23.7
2015,25-29,other_noncitizen,666.7
2015,30-34,bumi_malay,1254.4
2015,30-34,bumi_other,297.3
2015,30-34,chinese,533.7
2015,30-34,indian,175.6
2015,30-34,other_citizen,19.3
2015,30-34,other_noncitizen,451.1
2015,35-39,bumi_malay,966.2
2015,35-39,bumi_other,222.3
2015,35-39,chinese,479.8
2015,35-39,indian,147.3
2015,35-39,other_citizen,13.1
2015,35-39,other_noncitizen,329.4
2015,40-44,bumi_malay,870.2
2015,40-44,bumi_other,206.6
2015,40-44,chinese,462.6
2015,40-44,indian,132.3
2015,40-44,other_citizen,10.5
2015,40-44,other_noncitizen,216.5
2015,45-49,bumi_malay,812.1
2015,45-49,bumi_other,189.1
2015,45-49,chinese,456.3
2015,45-49,indian,126.8
2015,45-49,other_citizen,10.1
2015,45-49,other_noncitizen,133.6
2015,50-54,bumi_malay,745.1
2015,50-54,bumi_other,165.6
2015,50-54,chinese,432.3
2015,50-54,indian,121.7
2015,50-54,other_citizen,9.2
2015,50-54,other_noncitizen,86.4
2015,55-59,bumi_malay,626.5
2015,55-59,bumi_other,129.8
2015,55-59,chinese,384.2
2015,55-59,indian,103.7
2015,55-59,other_citizen,8
2015,55-59,other_noncitizen,51.9
2015,60-64,bumi_malay,480.2
2015,60-64,bumi_other,88.8
2015,60-64,chinese,316.4
2015,60-64,indian,77.1
2015,60-64,other_citizen,5.6
2015,60-64,other_noncitizen,32.3
2015,65-69,bumi_malay,346.9
2015,65-69,bumi_other,63.2
2015,65-69,chinese,259.7
2015,65-69,indian,55.2
2015,65-69,other_citizen,3.5
2015,65-69,other_noncitizen,20
2015,70-74,bumi_malay,204.3
2015,70-74,bumi_other,46.4
2015,70-74,chinese,168.6
2015,70-74,indian,28.5
2015,70-74,other_citizen,2.3
2015,70-74,other_noncitizen,10.8
2015,75-79,bumi_malay,141.8
2015,75-79,bumi_other,28.1
2015,75-79,chinese,121.1
2015,75-79,indian,19.6
2015,75-79,other_citizen,1.3
2015,75-79,other_noncitizen,7.5
2015,80-84,bumi_malay,67.1
2015,80-84,bumi_other,17.2
2015,80-84,chinese,56.9
2015,80-84,indian,10.9
2015,80-84,other_citizen,0.7
2015,80-84,other_noncitizen,5.3
2015,85+,bumi_malay,62.2
2015,85+,bumi_other,15
2015,85+,chinese,40.3
2015,85+,indian,8.4
2015,85+,other_citizen,0.6
2015,85+,other_noncitizen,7.4
2020,0-4,bumi_malay,1477.8
2020,0-4,bumi_other,297.8
2020,0-4,chinese,412.3
2020,0-4,indian,124.9
2020,0-4,other_citizen,16.6
2020,0-4,other_noncitizen,190
2020,5-9,bumi_malay,1508.2
2020,5-9,bumi_other,300.6
2020,5-9,chinese,512.3
2020,5-9,indian,152.3
2020,5-9,other_citizen,17.9
2020,5-9,other_noncitizen,149.9
2020,10-14,bumi_malay,1412.8
2020,10-14,bumi_other,379.6
2020,10-14,chinese,564.4
2020,10-14,indian,169.1
2020,10-14,other_citizen,13.7
2020,10-14,other_noncitizen,71.6
2020,15-19,bumi_malay,1640.8
2020,15-19,bumi_other,355.6
2020,15-19,chinese,513.7
2020,15-19,indian,167
2020,15-19,other_citizen,20.5
2020,15-19,other_noncitizen,141.9
2020,20-24,bumi_malay,1485.9
2020,20-24,bumi_other,339.7
2020,20-24,chinese,485
2020,20-24,indian,159.3
2020,20-24,other_citizen,20.1
2020,20-24,other_noncitizen,376.9
2020,25-29,bumi_malay,1383
2020,25-29,bumi_other,346.4
2020,25-29,chinese,488.5
2020,25-29,indian,160.2
2020,25-29,other_citizen,21.3
2020,25-29,other_noncitizen,492.2
2020,30-34,bumi_malay,1458
2020,30-34,bumi_other,320.2
2020,30-34,chinese,529.2
2020,30-34,indian,169.1
2020,30-34,other_citizen,23.5
2020,30-34,other_noncitizen,407.2
2020,35-39,bumi_malay,1373.2
2020,35-39,bumi_other,299.2
2020,35-39,chinese,578.3
2020,35-39,indian,175
